"553106-NGRAMS1.txt","Visitation Returns of the Diocese of Hereford in 1397 (Continued)"
"551070-NGRAMS1.txt","An Outline Itinerary of King Henry the First"
"551389-NGRAMS1.txt","An Outline Itinerary of King Henry the First (Continued)"
"20485377-NGRAMS1.txt","'Local Self-Government Is True Socialism': Joshua Toulmin Smith, the State and Character Formation"
"557768-NGRAMS1.txt","Additions and Corrections to Medieval Religious Houses: England and Wales"
"578763-NGRAMS1.txt","'An Holy and Sacramentall Paction': Federal Theology and the Solemn League and Covenant in England"
"579319-NGRAMS1.txt","Public Opinion and Political Culture in France during the Second Half of the Eighteenth Century"
"25639852-NGRAMS1.txt","Medicine, Reform and the 'End' of Charity in Early Nineteenth-Century England"
"3491038-NGRAMS1.txt","The Death of Edward II in Berkeley Castle"
"553363-NGRAMS1.txt","The Last Phase of Stratford de Redcliffe, 1855-8"
"563194-NGRAMS1.txt","The Memoirs of Lenoir, Lieutenant de Police of Paris, 1774-1785"
"41343245-NGRAMS1.txt","Some Origins of a Tudor Revolution"
"568786-NGRAMS1.txt","Why Do Disciplines Fail? The Strange Case of British Sociology"
"20108543-NGRAMS1.txt","'Imperium in Imperio': Irish Episcopal Imperialism in the Nineteenth Century"
"3490590-NGRAMS1.txt","Liberal Speech, Palmerstonian Delay, and the Passage of the Second Reform Act"
"3806355-NGRAMS1.txt","A Mirror for Every Age: The Reputation of Roger Bacon"
"551704-NGRAMS1.txt","Council, Star Chamber, and Privy Council under the Tudors: I. The Council"
"556684-NGRAMS1.txt","The Money Fief under the English Kings, 1066-1485"
"41238640-NGRAMS1.txt","Friendship, Intimacy and Corporate Networking in the Twelfth Century: The Politics of Friendship in the Letters of Peter the Venerable"
"580244-NGRAMS1.txt","Reconstruction and Resettlement: The Politicization of Irish Migration to Australia and Canada, 1919-29"
"574538-NGRAMS1.txt","The Struggle on the Czech-German Language Border, 1880-1940"
"41238563-NGRAMS1.txt","Razing Babel and the Problems of Constructing Peace: France, Great Britain, and Air Power, 1916-28"
"20485375-NGRAMS1.txt","Catholic Loyalism in Early Stuart England"
"552157-NGRAMS1.txt","Excerpts from the Register of Louvain University from 1485 to 1527"
"554596-NGRAMS1.txt","The Judicial Conflict over Tithes"
"578929-NGRAMS1.txt","Henry Brougham and Law Reform"
"552492-NGRAMS1.txt","Elections to Convocation in the Diocese of Gloucester under Bishop Hooper"
"4493713-NGRAMS1.txt","The BBC, the State and Cold War Culture: The Case of Television's The War Game (1965)"
"555696-NGRAMS1.txt","Public Opinion and the Railway Rates Question in 1886"
"554508-NGRAMS1.txt","The Forms and Machinery of the 'Commune Petition' in the Fourteenth Century. Part I"
"573869-NGRAMS1.txt"," The West Saxon Charters of King Æthelwulf and His Sons"
"576348-NGRAMS1.txt"," After Mers-el-Kébir: The Armed Neutrality of the Vichy French Navy, 1940-43"
"551561-NGRAMS1.txt","The Office of Sheriff in the Early Norman Period"
"552200-NGRAMS1.txt","Council, Star Chamber, and Privy Council under the Tudors: II. The Star Chamber"
"553337-NGRAMS1.txt","Visitation Returns of the Diocese of Hereford in 1397. Part III"
